StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC,AgeG,Timer_1_Vignette_First_Click,Timer_1_Vignette_Last_Click,Timer_1_Vignette_Page_Submit,Timer_1_Vignette_Click_Count,AC1,Ch_LoEf_1,Ch_LoEf_2,Ch_LoEf_3,Ch_LoEf_4,Ch_LoEf_5,Ch_LoEf_6,Ch_LoEf_7,Ch_LoEf_8,Ch_LoEf_9,Ch_LoEf_10,Ch_LoEf_11,Ch_LoEf_12,Ch_LoEf_13,Ch_LoEf_14,Ch_LoEf_15,Ch_HiEf_1,Ch_HiEf_2,Ch_HiEf_3,Ch_HiEf_4,Ch_HiEf_5,Ch_HiEf_6,Ch_HiEf_7,Ch_HiEf_8,Ch_HiEf_9,Ch_HiEf_10,Ch_HiEf_11,Ch_HiEf_12,Ch_HiEf_13,Ch_HiEf_14,Ch_HiEf_15,Ef_LoEf,Ef_HiEf,Qu_LoEf,Qu_HiEf,Dif_LoEf,Dif_HiEf,Val_LoEf,Val_HiEf,AC2,Sal_LoEf_1,Sal_HiEf_1,FW1,FW2,FW3,FW4,FW5,FW6,Age,Gen,Gen_3_TEXT,Nat,Cou,Lan,Edu,Lad,FB,SC0
2024-03-08 16:03:44,2024-03-08 16:03:45,2,,100,1,1,2024-03-08 16:03:45,R_0olzZNrcc0tJVkO,,,,,,,test,,1,1,7.62,8.83,8.4,0,1,6,2,3,5,1,7,5,1,5,1,2,7,4,4,3,1,5,5,6,3,4,4,1,6,5,3,5,5,7,3,4,3,3,4,4,7,2,3,6,60,65,3,2,5,3,1,4,114,1,,TEXT,2,2,7,7,"Velit sagittis ab sed? Donec molestie per praesent placerat wisi imperdiet, metus suscipit. Facilisis.",193
2024-03-08 16:03:45,2024-03-08 16:03:45,2,,100,0,1,2024-03-08 16:03:45,R_6EecNEShdpcWrqe,,,,,,,test,,1,2,0.74,6.88,6.09,0,5,7,7,4,3,5,2,3,5,6,3,6,2,6,6,2,6,7,2,7,1,3,2,7,5,6,1,7,3,2,4,6,5,2,2,7,7,1,4,1,85,85,6,2,1,3,6,2,57,3,"Sollicitudin montes risus, temporibus suspendisse natoque nibh quam neque purus, nunc praesent magnis dolor.",TEXT,1,1,1,3,Proin. Primis amet laoreet culpa nullam risus vivamus primis? Non dapibus. Montes mauris eu et.,201
2024-03-08 16:03:45,2024-03-08 16:03:45,2,,100,0,1,2024-03-08 16:03:45,R_9v6Hzgc1q8PIKAm,,,,,,,test,,1,1,5.24,9.21,9.9,23,5,6,3,1,7,2,5,3,1,3,2,5,5,7,7,3,6,5,2,7,7,6,4,7,5,7,2,5,5,6,1,7,5,3,1,3,6,1,3,1,75,60,7,1,1,1,5,3,65,3,Per nibh? Quis est! Etiam culpa nunc eleifend lacus culpa vivamus. Quam dictumst facilisis curabitur.,TEXT,2,3,4,8,Convallis vel auctor posuere magnis iaculis pede natoque praesent vulputate.,208
2024-03-08 16:03:45,2024-03-08 16:03:45,2,,100,0,1,2024-03-08 16:03:45,R_864lByq44tgVOgm,,,,,,,test,,1,3,2.62,3.54,5.77,7,3,2,6,4,2,7,1,1,1,4,7,1,6,2,4,3,3,2,3,6,1,4,4,1,2,6,2,1,1,1,5,6,1,6,7,4,4,4,7,6,65,55,7,4,6,3,3,1,98,2,,TEXT,2,4,10,8,"Dictumst! Vivamus eros fermentum, proin euismod vel felis orci. Pharetra, tempora vestibulum cras.",193
2024-03-08 16:03:46,2024-03-08 16:03:46,2,,100,0,1,2024-03-08 16:03:46,R_7ZCnF2NniJJ0EHs,,,,,,,test,,1,4,6.25,9.7,6.84,0,3,7,1,5,6,2,3,7,7,6,2,2,4,3,2,1,5,1,4,3,6,3,4,1,2,4,2,7,4,6,1,5,4,2,7,5,3,5,1,4,30,60,6,6,7,1,2,7,30,1,,TEXT,1,4,4,5,"Tincidunt sodales, scelerisque phasellus ullamcorper. Placerat! Dolor fusce dictumst. Ligula.",198
2024-03-08 16:03:46,2024-03-08 16:03:46,2,,100,0,1,2024-03-08 16:03:46,R_3a2RTzDAdYH6nEa,,,,,,,test,,1,3,6.01,8.39,7.8,31,5,3,3,2,3,5,1,7,3,2,2,4,5,4,2,6,4,1,1,5,6,2,5,4,2,4,3,3,3,7,5,7,7,6,4,2,7,3,2,2,85,40,5,1,1,5,5,4,116,1,,TEXT,1,3,11,9,Fusce id ipsum sapien volutpat elementum amet suspendisse! Ipsum consequat montes.,201
2024-03-08 16:03:46,2024-03-08 16:03:46,2,,100,0,1,2024-03-08 16:03:46,R_55AiDqy4AVGA5wy,,,,,,,test,,1,4,8.93,9.49,9.68,34,4,1,7,7,2,3,4,1,7,5,3,1,3,1,3,4,6,4,5,6,4,4,3,5,5,5,5,4,2,5,2,2,7,1,1,1,2,7,6,1,70,70,4,3,6,6,2,6,118,3,Pretium cursus vel ut blandit vulputate laoreet amet elit? Lectus! Vel velit.,TEXT,2,2,10,6,"Vivamus nonummy nibh! Morbi, placerat eros quam? Sodales proin suscipit volutpat risus enim? Potenti! Odio.",202
2024-03-08 16:03:47,2024-03-08 16:03:47,2,,100,0,1,2024-03-08 16:03:47,R_9LHHbMuifld2Qjc,,,,,,,test,,1,4,5.18,9.18,9.08,50,4,1,3,6,2,1,7,7,4,4,6,5,4,3,6,2,5,6,1,6,2,5,1,7,4,7,7,1,5,1,1,3,6,5,4,6,5,1,4,5,50,70,5,1,1,2,3,1,61,1,,TEXT,2,2,11,7,Gravida amet iaculis dapibus risus? Platea est in imperdiet sagittis montes leo ultricies bibendum.,202
2024-03-08 16:03:47,2024-03-08 16:03:47,2,,100,0,1,2024-03-08 16:03:47,R_4UdA5xVtJ7jNN4i,,,,,,,test,,1,1,0.44,9.6,9.19,45,4,3,6,6,1,3,7,2,4,1,7,7,3,6,4,3,4,6,1,5,7,7,1,3,6,7,5,2,1,2,2,5,1,2,4,2,5,4,1,1,35,80,2,3,7,1,6,7,35,4,,TEXT,1,4,4,10,Magna blandit per pharetra quis venenatis pretium leo est aenean.,201
2024-03-08 16:03:47,2024-03-08 16:03:47,2,,100,0,1,2024-03-08 16:03:47,R_8ijwtL8T70zkRzU,,,,,,,test,,1,3,8.15,8.66,9.26,31,7,6,1,1,4,7,1,2,3,2,7,2,1,1,1,1,7,6,1,4,7,1,2,7,5,1,3,4,4,1,4,3,1,7,2,6,1,2,4,2,80,65,1,7,5,6,5,2,52,3,"Amet turpis viverra orci massa aliquet blandit duis, tincidunt purus sem.",TEXT,2,2,11,7,Ullamcorper praesent? Aliquet molestie facilisis? Sem egestas suscipit dolor nunc vel.,185
2024-03-08 16:03:47,2024-03-08 16:03:47,2,,100,0,1,2024-03-08 16:03:48,R_9zgwbhaLuwgJyC2,,,,,,,test,,1,1,2.07,8.66,7.15,48,7,6,3,3,5,1,3,5,2,1,7,4,3,7,5,6,4,4,7,2,1,5,4,6,4,7,4,2,7,3,7,2,6,7,7,4,4,1,7,7,30,80,1,7,4,6,6,6,60,3,Imperdiet euismod tempor porttitor eget aenean laoreet. Eget temporibus sagittis.,TEXT,1,4,2,3,Urna tincidunt. Fringilla wisi. Duis ab lectus pellentesque! Vel sollicitudin tincidunt ligula molestie.,224
2024-03-08 16:03:48,2024-03-08 16:03:48,2,,100,0,1,2024-03-08 16:03:48,R_1KTshT2f0MA7pmm,,,,,,,test,,1,4,1.91,6.59,6.02,29,7,3,3,3,5,1,6,2,7,5,5,3,5,5,4,6,5,5,5,5,4,4,3,3,2,7,4,1,2,3,7,5,3,1,1,6,3,5,2,6,70,85,3,7,3,7,4,7,18,2,,TEXT,2,1,6,7,Blandit per erat donec fermentum lectus? Sagittis interdum commodo volutpat.,214
2024-03-08 16:03:48,2024-03-08 16:03:48,2,,100,0,1,2024-03-08 16:03:48,R_3xFlehyVpbsrW4K,,,,,,,test,,1,4,0.71,8.88,3.71,44,1,4,7,4,5,6,2,5,1,5,4,1,3,6,7,7,2,7,7,3,1,7,3,2,6,2,3,3,3,3,4,6,3,2,1,2,2,4,2,5,70,80,7,3,3,3,2,2,72,2,,TEXT,1,4,2,5,"Massa velit. Potenti eros. Velit felis sollicitudin non ligula, atque.",189
2024-03-08 16:03:48,2024-03-08 16:03:48,2,,100,0,1,2024-03-08 16:03:48,R_ex1qQodhEYpzef4,,,,,,,test,,1,3,3.12,3.67,4.74,29,7,6,1,7,2,2,1,6,5,5,6,4,5,6,1,2,2,7,5,5,5,5,3,5,6,4,1,1,7,1,2,5,5,2,1,5,4,3,7,3,55,85,3,4,6,7,7,7,113,1,,TEXT,1,1,11,2,"Quam. Neque diam sapien, lorem laoreet per. Ultricies vestibulum elit potenti interdum luctus.",213
2024-03-08 16:03:49,2024-03-08 16:03:49,2,,100,0,1,2024-03-08 16:03:49,R_8pLbGQPpGdWHBgW,,,,,,,test,,1,1,5.65,9.71,7.76,11,1,4,5,6,2,1,6,3,2,2,2,4,1,1,7,1,6,7,4,3,7,2,6,5,3,5,2,6,1,2,2,3,6,3,4,7,3,3,2,3,40,70,2,2,5,5,3,5,111,1,,TEXT,1,1,4,7,Lorem. Commodo auctor accusamus cursus magnis. Amet tortor faucibus ullamcorper metus etiam suspendisse dapibus.,180
